city,restaurant_name,rating,num_reviews
Islamabad,Ranchers - F 11,4.7,5000+
Islamabad,Howdy - Centaurus Mall,4.9,100+
Islamabad,BRIM Burgers - F7,4.8,500+
Islamabad,SMASH'D it - Centaurus,4.3,100+
Islamabad,McDonald's - Centaurus Mall,4.8,5000+
Islamabad,MR. COD - Blue Area,4.6,500+
Islamabad,Hardee's - Centaurus,4.6,3000+
Islamabad,OPTP - Jinnah Super,4.8,10000+
Islamabad,Simply Sufi - F7,4.8,1000+
Islamabad,Fresco Pizza f-10,4.8,2000+
Islamabad,Tayto G-9,4.8,500+
Islamabad,Pelicana Chicken - Centauras Mall,4.9,100+
Islamabad,Boom Boom Hot n Spicy - F8,4.8,5000+
Islamabad,Wild Wings- Centaurus,4.3,1000+
Islamabad,Bismillah Fast Food,4.2,500+
Islamabad,2 Broke Engineers,4.8,100+
Islamabad,Loafology - Blue Area,4.9,100+
Islamabad,Savour Foods - Blue Area,4.9,45000+
Islamabad,Contra Coffee,4.9,100+
Islamabad,Pepe's Piri Piri - Centaurus Mall,4.8,500+
Islamabad,Quatro Uno,5,100+
Islamabad,Hot N Spicy - Tariq Market,4.7,3000+
Islamabad,Kitchen Cuisine-F-10 Markaz,4.8,100+
Islamabad,Second Cup Coffee Company - F6,4.8,1000+
Islamabad,Bravo Foods - Blue Area,4.9,5000+
Islamabad,Naan Ghar Special,4.9,29
Islamabad,The Coffee Bean & Tea Leaf Elysium Tower,4.9,100+
Islamabad,New Yorker Pizza - F8 Islamabad,4.3,3000+
Islamabad,Pappasallis,4.6,1000+
Islamabad,Crunchies - F10 Markaz,4.6,4000+
Islamabad,Burning Brownie - Beverly Center,4.9,1000+
Islamabad,Karanchee Biryani & Broast - Centaurus mall,3.6,500+
Islamabad,Waqas A1 Biryani,4.6,100+
Islamabad,Bismillah Tikka & Chargha House F-8,4.5,100+
Islamabad,Eggspectation Cafe & Restaurant,4.9,500+
Islamabad,Chaaye Khana,4.8,100+
Islamabad,Bite Buzz,4.8,100+
Islamabad,Rendezvous Xpress Centaurus,4.8,500+
Islamabad,Street 1 Cafe,4.8,100+
Islamabad,Holyland bakers,4.7,26
Islamabad,TABLE TALK,4.7,100+
Islamabad,Home Kitchen,5,9
Islamabad,Home Taste,5,100+
Islamabad,Totally Healthy,4.8,500+
Islamabad,Baskin Robbins - Centaurus Mall,4.8,500+
Islamabad,Annie Kitchen,4.9,1000+
Islamabad,Desi Eatry,4.9,100+
Islamabad,SHN FOOD’S,4.1,64
Islamabad,Lebanese Night,4.7,500+
Islamabad,Tawakkal Foods,4.6,100+
