city,restaurant_name,rating,num_reviews
Lahore,3H Food Corner,4.6,100+
Lahore,Somi's Kitchen,4.5,2000+
Lahore,Goga Naqibia Murgh Channay - Firdous Market,4.8,5000+
Lahore,Grill Tikka & BBQ - Gulberg,4.5,100+
Lahore,Gul Bhai Mutton Channay & Bong Paye.,4.8,500+
Lahore,Golden Restaurant,4.8,5000+
Lahore,Shahi Murg Chanay,4.6,5000+
Lahore,Mian Nasir Murgh Chanay,4.9,100+
Lahore,Sultan Daddy Grill Burger,4.3,500+
Lahore,Saif Murgh Channay,4.9,3000+
Lahore,Goga Naqeebia Murgh Chanay & Bong Paye - Barkat Market,4.7,2000+
Lahore,Ghous Pak Restaurant,4.7,1000+
Lahore,Haji Sahab Special Murgh Chany & Bong Paye,4.4,100+
Lahore,Capri Restaurant,4.6,5000+
Lahore,Sultan Hotel,4.5,3000+
Lahore,Cafe Tandoori,4.9,2000+
Lahore,Bhully shah restaurant,4.7,500+
Lahore,Ameen Murgh Channay and Bhola Juice Corner,4.3,500+
Lahore,Ice Food,4.8,3000+
Lahore,Karachi Halwa puri - Gulberg,4.7,500+
Lahore,Bundu Khan Desi Nashta - Liberty,4.9,2000+
Lahore,Quetta Paratha - 110 A,3.6,100+
Lahore,Muhammadi Nehari House - Muslim Town,4.8,1000+
Lahore,Iceland fresh juice & Dry fruits Cavalry ground,4.8,100+
Lahore,HN Foods - MM Alam Gulberg,4.5,100+
Lahore,Anmool Nan shop,4.6,2000+
Lahore,Malik Naan Shop,4.9,500+
Lahore,Rizwan Burger - Main Market,4.9,15000+
Lahore,Madni Restaurant,4.6,1000+
Lahore,Karachi Red Rock - Gulberg,4.8,20000+
Lahore,Muhammadi Nahari House - DHA,4.7,2000+
Lahore,Bismillah Homechef,2.8,100+
Lahore,AHMAD HOME CHEF,3,500+
Lahore,Pulao House & Restaurant,4.8,500+
Lahore,Gulzar Yakhni Pulao,2.4,1000+
Lahore,Bismillah Beaf Yakhni Pulao,2,53
Lahore,Haleema's Kitchen,,
Lahore,i Kitchen,4.4,2000+
Lahore,Karachi Golden BBQ & Paratha Roll,4.6,2000+
Lahore,Ahmad Dahi Bhallay - Cavalry Ground,4.9,2000+
Lahore,Quetta Paratha - 110,2.3,56
Lahore,Seasoned,4.7,6
Lahore,Hafi's Kitchen,4.2,2000+
Lahore,Madni Restaurant,4.3,51
Lahore,Fancy Dahi Bhallay,4.4,500+
Lahore,ICE LAND Fresh Juices & Dry Fruit - Gulberg Hussain Chowk,4.8,4000+
Lahore,What a Paratha - Gulberg,4.9,15000+
Lahore,Lahori Barbeque Rooftop,4.4,100+
Lahore,Ice Land - Ghalib Market,4.8,100+
Lahore,Rizwan Biryani,4.8,5000+
