city,restaurant_name,rating,num_reviews
Peshawar,"Gul Chapli Kabab, Bara Road",5,100+
Peshawar,Pak Khorak,4.6,100+
Peshawar,Umar Kabab House,4.8,100+
Peshawar,Pak Khorak Platter House,4.1,12
Peshawar,Peshawar Kabab House,4.5,5
Peshawar,Haleem Ghar - Saddar,4.8,5000+
Peshawar,"Mohmand Toray Kabab House, Branch 8",4.7,94
Peshawar,Shahbaz Canteen & Restaurant,4.3,2000+
Peshawar,"Al Naseeb Biryani Center, Qissa Khuwani",4.8,100+
Peshawar,Bannu Gul Beef Pulao Painda House,4.7,57
Peshawar,MJ's Kitchenette,4.9,100+
Peshawar,Quetta Chaye,4.8,100+
Peshawar,Pak Ghazi Biryani Centre ( Saddar),4.7,100+
Peshawar,Peshawar Tea House (Tehkal),4.7,100+
Peshawar,Pak Ghazi Biryani Sadar,4.2,2000+
Peshawar,Quetta Peshawari Cafe ( Arbab Road ),,
Peshawar,Karachi Biryani Center Tehkal Payan,4.6,2000+
Peshawar,Get Together Restaurant,1.5,12
Peshawar,Quetta Peshawar Cafe Branch 2,4.6,2000+
Peshawar,Cafe Quetta 24/7,,
Peshawar,Taste In Train,2.1,40
Peshawar,Pak Ghazi Biryani Saddar Waly ( Hassan Garhi ),4.8,15
Peshawar,MaZaiDar Chicken Biryani and Fast Food,4.2,95
